A,Mot
Collectivism,Chu nghia tap the
Collectivize,Suu tam
Collector's,Nguoi suu tam
Collector,Nguoi suu tam
Colleen,Colleen
College,Truong dai hoc
Collegiate,Dong nghiep
Collide,Va cham
Collie,Collie
Collier,Collier
Colliery,Colliery
Collision,Va cham
Collocate,Da dat
Colloid,Keo
Colloquial,Thong thuong
Colloquialism,Chu nghia thong tuc
Colloquium,hoi dam
Colloquy,Colloquy
Collude,Thong dong
Collywobbles,Collywobbles
Cologne,Cologne
Colonel,Dai ta
Colonial,Thuoc dia
Colonialism,Chu nghia thuc dan
Colonist,Nguoi to mau
Colonize,Thuoc dia hoa
Colonnade,Colonnade
Colony,Thuoc dia
Colophon,Colophon
Color,Mau sac
Colorado,Colorado
Coloration,Mau sac
Coloratura,Coloratura
Colored,Mau sac ruc ro
Colorful,Day mau sac
Coloring,To mau
Colorless,Khong mau
Colossal,Colossal
Colossus,Colossus
Colostomy,Cat ruot gia
Colour-blind,Mu mau
Colour-sergeant,Trung si mau
Colour,Mau sac
Colouration,To mau
Coloured,Mau sac ruc ro
Colourful,Day mau sac
Colouring,To mau
Colourless,Khong mau
Colposcopy,Soi co tu cung
Colt,Colt
Colter,Colter
Coltsfoot,Coltsfoot
Columbine,Columbine
Column,Cot
Columnist,Chuyen vien cot
Com-,Voi 
Coma,Voi
Comatose,Hon me
Comb,Chai
Combat,Chien dau
Combatant,Chien dau
Combative,Ket hop
Combe,Combe
Combination,Su ket hop
Combine,Ket hop
Combings,Ket hop
Combining,Ket hop
Combo,Ket hop
Combustible,De chay
Combustion,Dot chay
Come-hither,Den day
Come-on,Nao
Come,Den
Comeback,Su tro lai
Comecon,Comecon
Comedian,Dien vien hai
Comedienne,Comedienne
Comedown,Di xuong
Comedy,Hai kich
Comely,Hai huoc
Comer,An
Comestibles,Cua hang tap hoa
Comet,Sao choi
Comeuppance,Comeuppance
Comfit,An ui
Comfort,An ui
Comfortable,Thoai mai
Comforter,Nguoi an ui
Comfortless,Khong thoai mai
Comfrey,Cay hoa chuong
Comfy,Thoai mai
Comic,Hai huoc
Coming,Dang toi
Comity,Comity
Comma,Dau phay
Command,Yeu cau
Commandant,Chi huy
Commandeer,Commandeer
Commander-in-chief,Tong tu lenh
Commander,Chi huy
Commanding,Chi huy
Commandment,Dieu ran
Commando,Biet kich
Commemorate,Ky niem
Commence,Bat dau
Commencement,Khoi cong
Commend,Tuyen duong
Commendable,Dang khen
Commensurable,Tuong xung
Commensurate,Tuong xung
Comment,Binh luan
Commentary,Binh luan
Commentate,Binh luan
Commentator,Binh luan vien
Commerce,thuong mai
Commercial,Quang cao
Commercialism,Chu nghia thuong mai
Commercialize,Thuong mai hoa
Commie,Commie
Commination,Su ket hop
Commingle,Commingle
Comminute,Di lam
Comminuted,Comminuted
Commiserate,Commiserate
Commissar,Uy vien
Commissariat,Van phong
Commissary,Uy vien
Commission-agent,Dai ly hoa hong
Commission,Nhiem vu
Commissionaire,Trieu phu
Commissioner,Uy vien
Commit,Lam
Commitment,Loi cam ket
Committal,Cam ket
Committee,Uy ban
Commode,Commode
Commodious,Lich su
Commodity,Hang hoa
Commodore,Commodore
Common-law,Thong luat
Common-room,Phong sinh hoat chung
Common,Pho thong
Commonality,Tinh tuong dong
Commonalty,Commonalty
Commoner,Thuong dan
Commonly,Thong thuong
Commonplace,Dia diem chung
Commons,Commons
Commonsensical,Commonsensical
Commonwealth,Lien bang
Commotion,Nao dong
Communal,Cong dong
Communicable,Co the giao tiep
Communicant,Nguoi giao tiep
Communicate,Giao tiep
Communication(s), Cac thong tin lien lac
Communication,Lien lac
Communicative,Giao tiep
Communion,Ruoc le
CommuniquÃ©,CommuniquA �
Communism,Chu nghia cong san
Communist,Cong san
Community,Cong dong
Commute,Di lam
Commuter,Di lai
Compact,gon nhe
Companion-way,Duong dong hanh
Companion,Ban dong hanh
Companionable,Dong hanh
Companionship,Ban dong hanh
Company,Cong ty
Comparable,Co the so sanh duoc
Comparative,So sanh
Compare,So sanh
Comparison,So sanh
Compartment,Ngan
Compartmental,Ngan
Compartmentalize,Khoang
Compass,Compa
Compassion,Thuong hai
Compassionate,Thuong xot
Compatible,Tuong thich
Compatriot,Dong huong
Compel,Ep buoc
Compendious,Hap dan
Compendium,Compendium
Compensate,Den bu
Compensation,Den bu
Compete,Tranh dua
Competence,Nang luc
Competent,Nguoi co tham quyen
Competition,Cuoc dua cuoc thi
Competitive,Canh tranh
Competitor,Doi thu
Compile,Bien dich
Compiler,Trinh bien dich
Complacent,Tu man
Complain,Than phien
Complainant,Nguoi khieu nai
Complaint,Loi phan nan
Complaisant,tu man
Complement,Bo sung
Complementary,Bo tuc
Complete,Hoan thanh
Complex,To hop
Complexion,Nuoc da
Compliance,Tuan thu
Compliant,Tuan thu
Complicate,Phuc tap
Complication,Su phuc tap
Complicity,Tinh tong hop
Compliment,Khen ngoi
Complimentary,Ca ngoi
Compline,Compline
Comply,Tuan theo
Component,Thanh phan
Comport,Tong hop
Compos,Sang tac
Compose,Soan bien soan
Composer,Nguoi soan nhac
Composite,Tong hop
Composition,Thanh phan
Compositor,Nguoi soan nhac
Compost,Phan tron
Composure.,Binh tinh 
Composure,Su diem tinh
Compote,Compote
Compound,Hop chat
Comprehend,Hieu
Comprehensible,De hieu
Comprehension,Bao quat
Comprehensive,Toan dien
Compress,Nen
Compression,Nen
Compressor,May nen
Comprise,Bao gom
Compromise,Su thoa hiep
Comptroller,Comptroller
Compulsion,Su ep buoc
Compulsive,Bat buoc
Compulsory,Bat buoc
Compunction,Su ket hop
Compute,Tinh toan
Computer-literate,Nguoi biet su dung may vi tinh
Computer,May tinh
Computerize,Tin hoc hoa
CompÃ¨re,CompA�re
Comrade,Dong chi
Con-,Con 
Con,Con
Concatenation,Su ket hop
Concave,Lom
Conceal,Che khuyet diem
Concede,Cong nhan
Conceit,Tu cao
Conceited,Kieu ngao
Conceivable,Co the tuong tuong
Conceive,Tuo?ng tuo?ng
Concentrate,Tap trung
Concentration,Nong do
Concentric,Dong tam
Concept,Y tuong
Conception,Quan niem
Conceptual,Khai niem
Conceptualize,Khai niem hoa
Concern,Ban tam
Concerned,Lo lang
Concerning,Lien quan
Concert,Buoi hoa nhac
Concerted,Quan tam
Concertina,Concertina
Concerto,Concerto
Concession,Nhuong bo
Concessive,Nhuong bo
Conch,Xa cu
Conchology,Conchology
Concierge,Nhan vien huong dan
Conciliate,Nguoi lien ket
Concise,Ngan gon
Conclave,Conclave
Conclude,Ket luan
Conclusion,Su ket luan
Conclusive,Ket luan
Concoct,Pha
Concomitant,Dong thoi
Concord,Concord
Concordance,Su phu hop
Concordat,Concordat
Concourse,Phong cho
Concrete,Be tong
Concretion,Ket cau
Concubine,Vo le
Concupiscence,Ket hop
Concur,Concur
Concurrent,Dong thoi
Concuss,Concuss
Concussion,Chan dong
Condemn,Len an
Condensation,Su ngung tu
Condense,Co dac
Condensed,Co dac
Condenser,Tu dien
Condescend,Condescend
Condign,Condign
Condiment,Gia vi
Condition,Tinh trang
Conditional,Co dieu kien
Conditioned,Co dieu kien
Conditioner,Dieu hoa
Condole,Xin chia buon
Condolence,Chia buon
Condom,Bao cao su
Condominium,Chung cu
Condone,Tha
Condor,Condor
Conduce,Chi huy
Conducive,Dan du
Conduct,Hanh kiem
Conductance,Ung xu
Conduction,Dan dien
Conductive,Dan dien
Conductor,Nhac truong
Conduit,Ong dan
Cone,Hinh non
Coney,Coney
Confab,Confab
Confabulate,lam lan lon
Confection,Su bao mat
Confectioner,Nguoi lam banh keo
Confectionery,Banh keo
Confederacy,Lien bang
Confederate,Lien minh
Confederation,Lien minh
Confer,Trao
Conference,Hoi nghi
Conferment,Chuyen doi
Confess,Xung
Confessedly,Thu nhan
Confession,Loi thu toi
Confessional,Chuyen nghiep
Confessor,Nguoi thu nhan
Confetti,Hoa giay
Confidant,Tam su
Confide,Tam su
Confidence,Long tin
Confident,Tin chac
Confidential,Bao mat
Configuration,Cau hinh
Confine,Giam cam
Confinement,Giam cam
Confirm,Xac nhan
Confirmation,Xac nhan
Confirmed,Da xac nhan
Confiscate,Tich thu
Conflagration,Xung dot
Conflate,Doi chieu
Conflict,Xung dot
Confluence,Hop luu
Confluent,Sung tuc
Conform,Tuan thu
Conformable,Co the phu hop
Conformation,Chuyen doi
Conformist,Nguoi phu hop
Conformity,Su phu hop
Confound,Boi roi
Confounded,Boi roi
Confront,Doi dau
Confucian,Nho gia
Confuse,Nham lan
Confusion,Su hoang mang
Confute,Giai bay
Conga,Conga
Congeal,Congeal
Congenial,Congenial
Congenital,Bam sinh
Conger,ca chinh bien
Congeries,Congeries
Congest,Lam tac nghen
Congestion,Tac nghen
Conglomerate,Tap doan
Congratulate,Chuc mung
Congratulation,Chuc mung
Congregate,Tap hop
Congregation,Giao doan
Congregational,Congregational
Congregationalism,Chu nghia cong dong
Congress,Hoi nghi
Congressman,nghi si quoc hoi
Congruent,Dong du
Congruous,Bun xin
Conic,Conic
Conical,Hinh non
Conifer,Hat tran
Conjectural,Phong doan
Conjecture,Phong doan
Conjoin,Vo chong
Conjoint,Chung
Conjugal,Conjugal
Conjugate,Lien hop
Conjugation,Su ket hop
Conjunct,Con lai
Conjunction,Ket hop
Conjunctiva,Ket mac
Conjunctive,Lien ket
Conjunctivitis,Viem ket mac
Conjure,Van xin
Conjuror,Conjuror
Conker,Conker
Conn,Conn
Connect,Lien ket
Connecting-rod,Thanh ket noi
Connection,Su lien quan
Connective,Ket noi
Connector,Ket noi
Conning,Ket hop
Connive,Connive
Connoisseur,Nguoi sanh soi
Connote,Chu thich
Connubial,Connubial
Conquer,Chinh phuc
Conquest,Su chinh phuc
Consanguineous,Chinh hang
Conscience-stricken,Thieu luong tam
Conscience,Luong tam
Conscientious,Tan tam
Conscious,Biet ro
Conscript,Conscript
Consecrate,Dang hien
Consecutive,Lien tiep
Consensus,Doan ket
Consent,Bang long
Consequence,Hau qua
Consequent,He qua
Consequential,He qua
Consequently,Do do
Conservancy,Bao ton
Conservation,Su bao ton
Conservationist,Nha bao ton
Conservative,Bao thu
Conservatoire,Conservatoire
Conservatory,Nhac vien
Conserve,Bao ton
Consider,Xem xet
Considerable,Dang ke
Considerate,Than trong
Consideration,Su xem xet
Considering,Dang can nhac
Consign,Ky gui
Consignment,Ky gui
Consist,Nhat quan
Consistency,Tinh nhat quan
Consistent,Thich hop
Consistory,Nhat quan
Consolation,Su an ui
Consolidate,Hop nhat
ConsommÃ©,Tieu thu
Consonance,Su cong huong
Consonant,Phu am
Consortium,Consortium
Conspicuous,De thay
Conspiracy,Am muu
Conspirator,Ke am muu
Conspire,Am muu
Constable,Thuan loi
Constabulary,Constabulary
Constancy,Su kien dinh
Constant,Khong thay doi
Constellation,Chom sao
Consternation,Su mat tinh than
Constipate,Tao bon
Constipation,Tao bon
Constituency,Su cau thanh
Constituent,Thanh phan
Constitute,Cau tao
Constitution,Cau tao
Constitutional,Hop hien
Constitutive,Cau tao
Constrain,Rang buoc
Constraint,Han che
Constrict,That chat
Constrictor,Bo phan that chat
Construct,Xay dung
Construction,Su thi cong
Constructive,Xay dung
Construe,Xay dung
Consubstantial,dang tin cay
Consubstantiation,Chung thuc
Consul,Lanh su
Consulate,Lanh su quan
Consult,Tham khao y kien
Consultancy,Tu van
Consultant,Tu van
Consultation,Tham van
Consume,Tieu thu
Consumer,Khach hang
Consumerism,Chu nghia tieu dung
Consummate,Hoan hao
Consumption,Su tieu thu
Consumptive,Tieu dung
Cont.,Tiep theo
Contact,Tiep xuc
Contagion,Lay nhiem
Contagious,De lay lan
Contain,Bao gom
Container,Thung dung hang
Containerize,Chua dung
Containment,Su ngan chan
Contaminate,Lam o ue
Contemplate,Thuong ngoan
Contemplative,Chiem nghiem
Contemporaneous,Duong thoi
Contemporary,Duong thoi
Contempt,Khinh thuong
Contemptible,Co the coi thuong
Contemptuous,Khinh
Contend,Contend
Contented,Noi dung
Contention,Noi dung
Contentious,Day dan
Contentment,Bang long
Contest,Cuoc thi
Contestant,Nguoi du thi
Context,Dinh nghia bai van
Contiguous,Lien ke
Continental,Luc dia
Contingency,Du phong
Contingent,Ngau nhien
Continual,Lien tuc
Continuance,Lien tuc
Continuation,Tiep tuc
Continue,Tiep tuc
Continuity,Lien tuc
Continuo,Tiep dien
Continuous,Tiep dien
Continuum,Lien tuc
Contort,Contort
Contortionist,Nhan vien van tai
Contour,Vien
Contra-,Chong lai 
Contra,Chong lai
Contraband,Hang lau
Contraception,Su ngua thai
Contraceptive,Tranh thai
Contract,Hop dong
Contractable,Hop dong
Contractible,Co the chuyen doi
Contractile,Co lai
Contraction,Su co lai
Contractor,Nha thau
Contractual,Hop dong
Contradict,Su mau thuan
Contradistinction,Su tuyet chung
Contraflow,Nguoc dong
Contralto,Contralto
Contraption,Contraption
Contrapuntal,Contrapuntal
Contrariwise,Nguoc lai
Contrary,Trai nguoc
Contrast,Tuong phan
Contravene,Trai nguoc
Contretemps,su lui buoc
Contribute,Dong gop
Contribution,Su dong gop
Contributory,Dong gop
Contrite,An nan
Contrivance,Lien quan
Contrive,Xoay so
Contrived,Co nguon goc
Control,Dieu khien
Controller,Bo dieu khien
Controversial,Gay tranh cai
Controversy,Tranh cai
Controvert,Tranh cai
Contumacious,Lay nhiem
Contumely,Kin dao
Contuse,Chua dung
Conundrum,Cau hoi hoc bua
Conurbation,Thu dam
Convalesce,Dieu tri
Convalescent,Duong benh
Convection,Doi luu
Convector,Convector
Convene,Convene
Convener,Convener
Convenience,Su tien loi
Convenient,Tien loi
Convent,Tu vien
Conventicle,Conventicle
Convention,quy uoc
Conventional,Thong thuong
Converge,Hoi tu
Conversant,Than giao
Conversation,Cuoc hoi thoai
Conversational,Hoi thoai
Conversationalist,Nguoi theo chu nghia hoi thoai
Conversion,Chuyen doi
Convert,Chuyen thanh
Convertible,Co the chuyen doi
Convex,Loi
Convey,Chuyen cho
Conveyance,Van chuyen
Conveyor,Bang tai
Convict,Ket an
Conviction,Long tin chac su ket an phan quyet
Convince,Thuyet phuc
Convivial,Tam thuong
Convocation,Su chuyen doi
Convoke,Chuyen doi
Convoluted,Qua?n la?i vo?i nhau
Convolution,Convolution
Convolvulus,Convolvulus
Convoy,Ho tong
Convulse,Co giat
Convulsion,Su chuyen dong
Cony,Cony
Coo,Coo
Cooee,Cooee
Cook-chill,Cook lanh
Cook,Dau bep
Cookbook,Sach day nau an
Cooker,Noi com dien
Cookery,Cookery
Cookie,Banh quy
Cool-bag,Tui mat
Cool,Mat me
Coolant,Chat lam mat
Cooler,Mat hon
Coolie,Cu li
Cooling-off,Ha nhiet
Cooling,Lam mat
Coomb,Coomb
Coon,Coon
Coop,Chuong trai
Cooper,Cooper
Cooperate,Hop tac
Cooperative,Hop tac xa
Coordinate,Dieu phoi
Coot,Coot
Cop-out,Canh sat ra
Cop,Canh sat
Copal,Copal
Copartner,Copartner
Copeck,Copeck
Copernican,Copernican
Copier,May photocopy
Copilot,Phi cong phu
Coping-stone,Coping stone
Coping,Duong dau
Copious,Phong phu
Copper-bottomed,Dong day
Copper,Dong
Copperhead,Dau dong
Copperplate,Dia dong
Coppice,Coppice
Copra,Cui dua
Copse,Copse
Copt,Nuong
Coptic,Coptic
Copula,Copula
Copulate,Bat chuoc
Copy-typist,Copy typist
Copy,Sao chep
Copybook,So tay
Copycat,Sao chep
Copyist,Copyist
Copyright,Ban quyen
Copywriter,Copywriter
Coq,Coq
Coquette,tan tinh
Cor-,Cor 
Cor,Cor
Coracle,Phep mau
Coral,San ho
Coralline,Rong san ho
Corbel,Corbel
Cord,Day
Cordial,Than ai
Cordite,Cordite
Cordless,Khong day
Cordon,Cordon
Corduroy,Vai nhung
Core,Cot loi
Corgi,Cho Corgi
Coriander,Rau mui
Corinthian,Co rinh to
Cork,nut ban
Corkage,Long
Corked,Co nap
Corker,Corker
Corkscrew,Do mo nap chai
Corm,Corm
Cormorant,Chim coc
Corn-cob,Loi bap
Corn,Ngo
Corncrake,Corncrake
Cornea,Giac mac
Corned,Goc cua
Cornelian,Cornelian
Corner,Goc
Cornerstone,Nen tang
Cornet,Cornet
Cornflake,Bap ngo
Cornflour,Bot ngo
Cornflower,Bong bap
Cornice,Cornice
Cornish,Cui bap
Cornucopia,Cornucopia
Corny,Xua
Corolla,Trang hoa
Corollary,He qua
Corona,Corona
Coronary,Hinh vanh
Coronation,Dang quang
Coroner,Coroner
Coronet,Coronet
Corpora,Corpora
Corporal,Ha si
Corporate,Cong ty
Corporation,Tap doan
Corporative,tap doan
Corporeal,Xac chet
Corps,Quan doan
Corpse,Tu thi
Corpulent,Manh me
Corpus,Corpus
Corpuscle,Corpuscle
Corral,Corral
Correct,Chinh xac
Correction,Dieu chinh
Correctitude,Do chinh xac
Corrective,Sua sai
Correlate,Tuong quan
Correlative,Tuong quan
Correspond,Trao doi thu tin
Correspondence,Thu tin
Correspondent,Phong vien
Corridor,Hanh lang
Corridors,Hanh lang
Corrigendum,Corrigendum
Corrigible,Corrigible
Corroborate,Corroborate
Corrode,An mon
Corrosion,An mon
Corrugate,Corrugate
Corrupt,Tham nhung
Corsage,Corsage
Corsair,Corsair
Corselette,Thoi tiet o Corselette
Corset,Ao nit nguc
Cortex,Vo nao
Cortisone,Cortisone
CortÃ¨ge,CortA�ge
Corundum,Corundum
Coruscate,Den flash phia truoc
Corvette,Tau ho tong
Corymb,Corymb
Cosec,Cosec
Cosecant,Cosecant
Cosine,Co sin
Cosmetic,My pham
Cosmic,Rong menh mong
Cosmogony,Cosmogony
Cosmology,Vu tru hoc
Cosmonaut,Du hanh vu tru
Cosmopolitan,khap the gioi
Cosmos,Cosmos
Cossack,Cossack
Cosset,Nang niu
Cost-effective,Hieu qua ve chi phi
Cost,Phi ton
Costal,Costal
Costermonger,Costermonger
Costing,Chi phi
Costive,Costive
Costly,Ton kem
Costume,Trang phuc
Costumier,nguoi mac quan ao
Cosy,Am ap
Cot-death,Chet tiet
Cotangent,Cotangent
Cote,Cote
Coterie,Phe dang
Cotoneaster,Cotoneaster
Cottage,Ngoi nha tranh
Cottager,Cottager
Cotter,Cotter
Cotton,Bong
Cotyledon,La mam
Couch,Di vang
Couchette,Ben tau
Cougar,Bao su tu
Cough,Ho
Could,Co the
Couldn't,Khong the
Coulomb,Coulomb
Coulter,Coulter
Council,hoi dong
Councillor,Uy vien hoi dong
Counsel,Co van
Counsellor,Nhan vien tu van
Counselor,Nhan vien tu van
Countable,Dem duoc
Countdown,Dem nguoc
Countenance,Su thay doi
Counter-,Phan doi 
Counter-attack,Phan cong
Counter-clockwise,Nguoc chieu kim dong ho
Counter-espionage,Phan gian diep
Counter-intelligence,Phan tinh bao
Counter-productive,Phan san xuat
Counter-revolution,Phan cach mang
Counter-tenor,Nguoc ky han
Counteract,Phan doi
Counterbalance,Doi trong
Counterfeit,Hang nhai
Counterfoil,Counterfoil
Countermand,Countermand
Countermeasure,Bien phap doi pho
Countermove,Doi khang
Counterpane,Counterpane
Counterpart,Doi tac
Counterpoint,Doi diem
Counterpoise,Phan doi
Countersign,Ky hieu
Countersink,Lien ket bo dem
Countervail,Phan doi
Counterweight,Doi trong
Countess,Nu ba tuoc
Countless,Vo so
Countrified,Da kiem chung
Country-and-western,Dat nuoc va phuong Tay
Country-wide,Toan quoc
Country,Quoc gia
Countryman,Dong huong
Countryside,Vung nong thon
County,Quan
Coup,Dao chinh
Coupe,Coupe
Couple,Cap doi
Couplet,Cap doi
Coupling,Khop noi
Coupon,Phieu mua hang
CoupÃ©,Coupe
Courage,Long can dam
Courageous,Can dam
Courgette,Courgette
Courier,Chuyen phat nhanh
Course,Khoa hoc
Courser,Courser
Court-card,Court card
Court-house,Toa nha
Court,Toa an
Courteous,Lich su
Courtesan,Gai diem hang sang
Courtesy,Lich su
Courtier,Courtier
Courtly,Toa an
Courtroom,Phong xu an
Courtship,Phep lich su
Courtyard,San
Couscous,couscous
Cousin,Anh chi em ho
Couture,Couture
Couturier,Couturier
Coven,Coven
Covenant,khe uoc
Coventry,Coventry
Cover-point,Diem che phu
Cover-up,Che day
Cover,Trai ra
Coverage,Phu song
Coverall,Tong the
Covering,Bao che
Coverlet,Khan phu ban
Covert,Che giau
Covet,Covet
Covetous,Tham lam
Covey,Covey
Cow-lick,Bo liem
Cow-parsley,Ngo tay bo
Cow-pat,Cow pat
Coward,nhat gan
Cowardice,Hen nhat
Cowardly,Hen nhat
Cowbell,Cowbell
Cowboy,Cao boi
Cower,Cower
Cowherd,Chan bo
Cowhide,Da bo
Cowl,Cowl
Cowling,Chan bo
Cowpox,Benh dau mua
Cowrie,Cowrie
Cowslip,Kep bo
Cox,Cox
Coxcomb,Coxcomb
Coxswain,Coxswain
Coy,Coy
Coyote,Coyote
Coypu,Coypu
Cozen,cozen
Cozy,Am ap
Cpl.,Cpl 
Cps,Cps
Cpu,CPU
Cr,Cr
Crabbed,Chu viet tay
Crabby,Crabby
Crabwise,Crabwise
Crack-brained,Crack brained
Crack-down,Crack down
Crack-up,Pha vo
Crack,Nut
Cracker,Cracker
Crackers,Banh quy gion
Cracking,Be khoa
Crackle,Crackle
Crackling,Crackling
Cracknel,Cracknel
Crackpot,Crackpot
Cradle-snatcher,Nguoi an cap vat
Cradle-song,Bai hat noi
Cradle,Gia do
Craft,Thu cong
Craftsman,Tho thu cong
Crafty,Xao tra
Crag,Crag
Craggy,Hiem tro
Crake,Crake
Cram,Cram
Crammer,Crammer
Cramp,Chuot rut
Cramped,Chat choi
Crampon,Crampon
Crampoon,Crampoon
Cranberry,Cay Nam viet quat
Crane-fly,Hac bay
Crane,May truc
Cranesbill,Cranesbill
Cranium,Cranium
Crank,Tay quay
Crankcase,Cacte
Crankpin,Crankpin
Crankshaft,Truc khuyu
Cranky,Cau kinh
Cranny,Cranny
Crap,Tao lao
Crape,Crape
Craps,Craps
Crapulent,Khau khinh
Crash-dive,Sup do
Crash-helmet,Mu bao hiem va cham
Crash-land,Dap dat
Crash,Tai nan
Crashing,Va cham
Crass,Crass
Crate,Thung
Crater,Mieng nui lua
Cravat,Cravat
Crave,Them
Craven,Craven
Craving,Them
Craw,Thu thap thong tin
Crawfish,Con tom
Crawl,Thu thap thong tin
Crayfish,Tom cang xanh
Crayon,But sap mau
Craze,Them thuong
Crazy,Khung
Creak,Tieng cot ket
Creaky,Coc coc
Cream,Kem
Creamer,Kem
Creamery,Kem tuoi
Creamy,Min
Crease,Nep gap
Create,Tao ra
Creation,Su sang tao
Creative,Sang tao
Creator,Nguoi sang tao
Creature,Sinh vat
Credence,Su tin nhiem
Credential,Chung chi
Credibility,Su uy tin
Credible,Dang tin cay
Credit,Tin dung
Creditable,Co the tin dung
Creditor,Chu no
Creditworthy,Dang tin cay
Credo,toi tin
Credulous,Dang tin cay
Creed,Tin dieu
Creek,Lach nho
Creel,Creel
Creep,Leo
Creeper,Cay leo
Creepy-crawly,Dang so
Creepy,rung minh
Cremate,Hoa tang
Crematorium,Lo thieu
Crenelate,Crenelate
Crenellate,Crenellate
Creole,Creole
Creosote,Creosote
Crept,Len loi
Crepuscular,Hoang hon
Cres.,Cres 
Cresc.,Toi dang lon len 
Crescendo,Crescendo
Crescent,hinh ban nguyet
Cress,Cress
Crest,Crest
Crestfallen,Crestfallen
Cretaceous,Ky Phan trang
Cretin,Cretin
Cretonne,Cretonne
Crevasse,Crevasse
Crevice,Duong nut ke ho
Crew,Phi hanh doan
Crewel-work,Crewel work
Crewel,Crewel
Cri,Cri
Crib,Giuong cui
Cribbage,Rac ruoi
Crick,Crick
Cried,Khoc
Crier,Crier
Crikey,Crikey
Crime,Toi ac
Criminal,Toi pham
Criminology,Toi pham hoc
Crimp,Uon
Crimplene,Crimplene
Crimson,Do tham
Cringe,Co rum
Crinkle-cut,Crinkle cut
Crinkle,Nhan
Crinoline,Crinoline
Cripple,Tan tat
Crisis,Khung hoang
Crisp,Sac net
Crispbread,Banh mi gion
Crispy,Gion
Criss-cross,Criss cross
Criterion,Tieu chuan
Critic,Phe binh
Critical,Phe binh
Criticism,Su chi trich
Criticize,Chi trich
Critique,Phe binh
Croak,Croak
Croaky,Croaky
Croat,Croat
Crochet,Su theu
Crockery,Bat dia bang sanh
Crocodile,Ca sau
Crocus,Crocus
Croesus,Croesus
Croft,Croft
Crofter,Crofter
Crohn's,Crohns
Croissant,Banh sung bo
Cromlech,Cromlech
Crone,Crone
Crony,Ban noi kho
Crook,Crook
Crooked,Quanh co
Croon,Croon
Crop-eared,Tai cup
Crop,Trong trot
Cropper,Nguoi cat xen
Croquet,Croquet
Croquette,Croquette
Crosier,Crosier
Cross-bench,Bang ghe dai
Cross-check,Kie?m tra cheo
Cross-country,Xuyen quoc gia
Cross-cut,Cat ngang
Cross-dressing,Mac quan ao cheo
Cross-examine,Kiem tra cheo
Cross-eyed,Mat le
Cross-fertilize,Bon phan cheo
Cross-grain,Hat cheo
Cross-grained,Xuyen hat
Cross-hatch,No cheo
Cross-legged,Bat cheo chan
Cross-ply,Cross ply
Cross-question,Cau hoi cheo
Cross-refer,Tham khao cheo
Cross-reference,Tham chieu cheo
Cross-section,Mat cat ngang
Cross-stitch,Khau cheo
Cross,Di qua
Crossbar,Xa ngang
Crossbill,Crossbill
Crossbones,Xuong cheo
Crossbow,No
Crossbreed,Con lai
Crosse,Crosse
Crossfire,Crossfire
Crossing,Bang qua
Crossover,Crossover
Crosspatch,Crosspatch
Crosspiece,Chu thap
Crossroad,Nga tu
Crosstalk,Xuyen am
Crossways,Duong ngang
Crosswind,Crosswind
Crosswise,Theo chieu ngang
Crossword,O chu
Crotch,Hang
Crotchet,Crotchet
Crotchety,Crotchety
Crouch,Khum num
Croupier,Croupier
Crow's-foot,Chan qua
Crow's-nest,To qua
Crowbar,Xa beng
Crowd,Dam dong
Crown,Vuong mien
Crozier,Crozier
CroÃ»ton,CroA �tan
Crt,Crt
Cru,Cru
Cruces,Cruces
Crucial,Quan trong
Crucible,Crucible
Cruciferous,Thuoc ho Cruciferous
Crucifix,Cay thanh gia
Crucifixion,Dong dinh
Cruciform,Cruciform
Crucify,Dong dinh
Crud,Tho so
Crude,Tho
CruditÃ©s,rau song
Cruel,DOC ac
Cruet,Chai
Cruise,Du thuyen
Cruiser,Tuan duong ham
Cruiserweight,Hang tuan duong
Crumb,Vun
Crumble,Be nat ra
Crumbly,Vo vun
Crumbs,Manh vun
Crumby,Crumby
Crumhorn,Crumhorn
Crummy,Nhan nho
Crumpet,Crumpet
Crumple,Vo nat
Crunch,Crunch
Crunchy,Gion
Crupper,Crupper
Crusade,Cuoc thap tu chinh
Cruse,Cruse
Crush,Nguoi minh thich
Crust,vo trai dat
Crustacean,Giap xac
Crusty,San sui
Crutch,Nang
Crux,Crux
Cruzado,Da qua
Cruzeiro,du thuyen
Cry-baby,Mit uot
Cry,Khoc
Cryer,Cryer
Crying,Dang khoc
Cryogenics,Cryogenics
Crypt,Crypt
Cryptic,Mat ma
Cryptogam,Cryptogam
Cryptogram,Mat ma
Cryptography,Mat ma hoc
Crystal-gazing,Nhin tinh the
Crystal,Pha le
Crystalline,Ket tinh
Crystallize,Ket tinh
Crystallography,Tinh the hoc
Crystalloid,Crystalloid
CrÃ¨che,CrA�che
CrÃ¨me,CrA�me
CrÃªpe,CrAape
Cs,Cs
Cse,Cse
Ctc,Ctc
Cu.,Voi 
Cu,Voi
Cub,Khoi
Cubby-hole,Cubby lo
Cube,Khoi lap phuong
Cubic,Khoi
Cubical,Hinh khoi
Cubicle,Khoi
Cubism,Chu nghia lap the
Cubit,Khoi
Cuboid,Cuboid
